index,Įstaigos_pavadinimas,Medikų_kiekis__VISO,Karantinuota__VISO,Medikų_kiekis_30___50_m_,Karantinuota_viso_30___50_m_,Medikų_kiekis_50__,Karantinuota_viso_50__,Medikai_reanimatologai__VISO,Karantinuota_reanimatologai__VISO,Atsarga,Apmokyti_medikai,FID,insert_timestamp
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 11:00:02.863650
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 11:00:02.863650
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 11:00:02.863650
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 11:00:02.863650
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 11:00:02.863650
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 11:00:02.863650
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 12:00:04.724198
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 12:00:04.724198
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 12:00:04.724198
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 12:00:04.724198
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 12:00:04.724198
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 12:00:04.724198
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 12:00:04.724198
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 12:00:04.724198
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 12:00:04.724198
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 12:00:04.724198
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 12:00:04.724198
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 12:00:04.724198
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 12:00:04.724198
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 12:00:04.724198
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 12:00:04.724198
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 12:00:04.724198
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 12:00:04.724198
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 12:00:04.724198
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 13:00:05.200075
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 13:00:05.200075
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 13:00:05.200075
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 13:00:05.200075
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 13:00:05.200075
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 13:00:05.200075
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 13:00:05.200075
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 13:00:05.200075
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 13:00:05.200075
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 13:00:05.200075
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 13:00:05.200075
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 13:00:05.200075
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 13:00:05.200075
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 13:00:05.200075
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 13:00:05.200075
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 13:00:05.200075
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 13:00:05.200075
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 13:00:05.200075
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 14:00:03.318440
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 14:00:03.318440
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 14:00:03.318440
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 14:00:03.318440
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 14:00:03.318440
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 14:00:03.318440
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 14:00:03.318440
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 14:00:03.318440
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 14:00:03.318440
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 14:00:03.318440
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 14:00:03.318440
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 14:00:03.318440
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 14:00:03.318440
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 14:00:03.318440
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 14:00:03.318440
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 14:00:03.318440
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 14:00:03.318440
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 14:00:03.318440
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 15:00:03.783704
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 15:00:03.783704
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 15:00:03.783704
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 15:00:03.783704
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 15:00:03.783704
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 15:00:03.783704
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 15:00:03.783704
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 15:00:03.783704
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 15:00:03.783704
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 15:00:03.783704
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 15:00:03.783704
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 15:00:03.783704
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 15:00:03.783704
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 15:00:03.783704
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 15:00:03.783704
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 15:00:03.783704
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 15:00:03.783704
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 15:00:03.783704
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 16:00:03.851476
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 16:00:03.851476
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 16:00:03.851476
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 16:00:03.851476
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 16:00:03.851476
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 16:00:03.851476
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 16:00:03.851476
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 16:00:03.851476
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 16:00:03.851476
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 16:00:03.851476
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 16:00:03.851476
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 16:00:03.851476
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 16:00:03.851476
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 16:00:03.851476
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 16:00:03.851476
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 16:00:03.851476
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 16:00:03.851476
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 16:00:03.851476
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 17:00:03.918919
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 17:00:03.918919
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 17:00:03.918919
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 17:00:03.918919
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 17:00:03.918919
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 17:00:03.918919
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 17:00:03.918919
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 17:00:03.918919
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 17:00:03.918919
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 17:00:03.918919
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 17:00:03.918919
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 17:00:03.918919
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 17:00:03.918919
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 17:00:03.918919
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 17:00:03.918919
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 17:00:03.918919
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 17:00:03.918919
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 17:00:03.918919
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 18:00:02.364486
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 18:00:02.364486
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 18:00:02.364486
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 18:00:02.364486
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 18:00:02.364486
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 18:00:02.364486
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 18:00:02.364486
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 18:00:02.364486
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 18:00:02.364486
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 18:00:02.364486
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 18:00:02.364486
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 18:00:02.364486
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 18:00:02.364486
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 18:00:02.364486
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 18:00:02.364486
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 18:00:02.364486
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 18:00:02.364486
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 18:00:02.364486
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 19:00:05.568538
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 19:00:05.568538
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 19:00:05.568538
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 19:00:05.568538
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 19:00:05.568538
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 19:00:05.568538
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 19:00:05.568538
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 19:00:05.568538
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 19:00:05.568538
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 19:00:05.568538
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 19:00:05.568538
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 19:00:05.568538
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 19:00:05.568538
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 19:00:05.568538
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 19:00:05.568538
10,VšĮ Šeškinės poliklinika,,,,,,,,,,,11,2020-03-23 17:00:04.125769
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 19:00:05.568538
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 19:00:05.568538
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 19:00:05.568538
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 20:00:03.066532
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 20:00:03.066532
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 20:00:03.066532
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 20:00:03.066532
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 20:00:03.066532
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 20:00:03.066532
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 20:00:03.066532
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 20:00:03.066532
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 20:00:03.066532
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 20:00:03.066532
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 20:00:03.066532
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 20:00:03.066532
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 20:00:03.066532
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 20:00:03.066532
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 20:00:03.066532
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 20:00:03.066532
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 20:00:03.066532
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 20:00:03.066532
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 21:00:02.682538
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 21:00:02.682538
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 21:00:02.682538
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 21:00:02.682538
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 21:00:02.682538
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 21:00:02.682538
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 21:00:02.682538
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 21:00:02.682538
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 21:00:02.682538
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 21:00:02.682538
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 21:00:02.682538
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 21:00:02.682538
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 21:00:02.682538
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 21:00:02.682538
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 21:00:02.682538
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 21:00:02.682538
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 21:00:02.682538
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 21:00:02.682538
11,VšĮ Greitosios medicinos pagalbos stotis,,,,,,,,,,,12,2020-03-23 17:00:04.125769
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 22:00:04.256715
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 22:00:04.256715
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 22:00:04.256715
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 22:00:04.256715
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 22:00:04.256715
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 22:00:04.256715
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 22:00:04.256715
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 22:00:04.256715
8,VšĮ Naujininkų poliklinika,124,1,26,0,98,1,0,0,0,0,9,2020-03-22 22:00:04.256715
9,VšĮ Naujosios Vilnios poliklinika,132,5,43,4,72,1,0,0,0,0,10,2020-03-22 22:00:04.256715
10,VšĮ Šeškinės poliklinika,448,25,151,11,257,14,0,0,0,0,11,2020-03-22 22:00:04.256715
11,VšĮ Greitosios medicinos pagalbos stotis,380,10,6,10,4,4,0,0,0,0,12,2020-03-22 22:00:04.256715
12,VšĮ Vilniaus miesto psichikos sveikatos centras,196,5,88,4,108,1,0,0,0,0,13,2020-03-22 22:00:04.256715
13,VšĮ Grigiškių sveikatos priežiūros centras palaikomojo gydymo ir slaugos ligoninė,43,0,14,0,27,0,0,0,0,0,14,2020-03-22 22:00:04.256715
14,BĮ Vilniaus visuomenės sveikatos biuras,0,0,0,0,0,0,0,0,0,0,15,2020-03-22 22:00:04.256715
15,BĮ Vilniaus sutrikusio vystymosi kūdikių namai-pagalbos centras „Šeimos slėnis“,0,0,0,0,0,0,0,0,0,0,16,2020-03-22 22:00:04.256715
16,VšĮ Vilniaus universiteto ligoninė Santaros klinikos,0,0,0,0,0,0,0,0,0,0,17,2020-03-22 22:00:04.256715
17,VšĮ Respublikinė Vilniaus universitetinė ligoninė,0,0,0,0,0,0,0,0,0,0,18,2020-03-22 22:00:04.256715
0,VšĮ Vilkpėdės ligoninė,167,4,27,0,140,4,0,0,0,0,1,2020-03-22 23:00:03.411127
1,VšĮ Mykolo Marcinkevičiaus ligoninė,0,0,0,0,0,0,0,0,0,0,2,2020-03-22 23:00:03.411127
2,VšĮ Vilniaus miesto klinikinė ligoninė,0,0,0,0,0,0,0,0,0,0,3,2020-03-22 23:00:03.411127
3,VšĮ Šv. Roko ligoninė,169,7,42,1,109,6,0,0,0,0,4,2020-03-22 23:00:03.411127
4,VšĮ Antakalnio poliklinika,0,0,0,0,0,0,0,0,0,0,5,2020-03-22 23:00:03.411127
5,VšĮ Karoliniškių poliklinika,166,7,84,7,72,0,3,0,0,0,6,2020-03-22 23:00:03.411127
6,VšĮ Lazdynų poliklinika,56,2,28,1,28,1,0,0,0,0,7,2020-03-22 23:00:03.411127
7,"VšĮ Centro poliklinika, Dienos stacionaras",862,16,0,0,0,0,0,0,0,0,8,2020-03-22 23:00:03.411127
